batch_size,vllm_fused_moe_triton,sglang_fused_moe_triton
235.000000,0.652864,0.414080
236.000000,0.653584,0.413664
237.000000,0.654784,0.413712
238.000000,0.655872,0.414656
239.000000,0.656128,0.414688
240.000000,0.657120,0.414336
241.000000,0.656064,0.414592
242.000000,0.656608,0.413952
243.000000,0.657504,0.414816
244.000000,0.657456,0.414688
245.000000,0.658272,0.414784
246.000000,0.658912,0.414592
247.000000,0.658800,0.416672
248.000000,0.659712,0.420352
249.000000,0.658784,0.415408
250.000000,0.658464,0.415520
251.000000,0.659232,0.415200
252.000000,0.659808,0.415904
253.000000,0.658672,0.415680
254.000000,0.659808,0.415680
255.000000,0.677376,0.415552
256.000000,0.679504,0.415616
257.000000,0.670160,0.416944
258.000000,0.665984,0.417184
259.000000,0.665856,0.417184
260.000000,0.668416,0.417072
261.000000,0.686560,0.416592
262.000000,0.688336,0.417248
263.000000,0.688304,0.417328
264.000000,0.688960,0.417376
265.000000,0.790304,0.419264
266.000000,0.790640,0.418752
267.000000,0.790272,0.418384
268.000000,0.792336,0.417936
269.000000,0.791040,0.419232
270.000000,0.791840,0.418880
271.000000,0.790960,0.419056
272.000000,0.791232,0.418160
273.000000,0.791840,0.418576
274.000000,0.791008,0.418480
275.000000,0.791328,0.418896
276.000000,0.792160,0.418656
277.000000,0.792272,0.418896
278.000000,0.792960,0.419744
279.000000,0.790784,0.419360
280.000000,0.792848,0.419776
281.000000,0.792896,0.419712
282.000000,0.793728,0.419104
283.000000,0.793984,0.419680
284.000000,0.792512,0.418912
285.000000,0.796096,0.419936
286.000000,0.753888,0.419872
287.000000,0.753504,0.420160
288.000000,0.753024,0.420704
289.000000,0.755120,0.421408
290.000000,0.756880,0.420864
291.000000,0.755936,0.421184
292.000000,0.756208,0.423936
293.000000,0.756288,0.421248
294.000000,0.759024,0.421824
295.000000,0.759712,0.421312
296.000000,0.757600,0.420768
297.000000,0.761152,0.421632
298.000000,0.758624,0.421744
299.000000,0.839584,0.421792
300.000000,0.839584,0.421280
301.000000,0.840080,0.422048
302.000000,0.839104,0.421856
303.000000,0.839536,0.422320
304.000000,0.856768,0.421696
305.000000,0.853328,0.421760
306.000000,0.853344,0.421408
307.000000,0.855728,0.421936
308.000000,0.857616,0.421536
309.000000,0.854848,0.422176
310.000000,0.856304,0.421984
311.000000,0.854112,0.421984
312.000000,0.851360,0.421536
313.000000,0.853088,0.422448
314.000000,0.851040,0.422336
315.000000,0.856176,0.422656
316.000000,0.855392,0.421952
317.000000,0.852480,0.422736
318.000000,0.852928,0.422176
319.000000,0.851008,0.422752
320.000000,0.852192,0.422208
321.000000,0.844160,0.424368
322.000000,0.842128,0.424256
323.000000,0.854336,0.424800
324.000000,0.848064,0.424176
325.000000,0.848160,0.425408
326.000000,0.851840,0.424080
327.000000,0.855456,0.425088
328.000000,0.848992,0.424768
329.000000,0.845408,0.425344
330.000000,0.851264,0.425088
331.000000,0.844032,0.425792
332.000000,0.839648,0.425232
333.000000,0.842000,0.425760
334.000000,0.843792,0.425216
335.000000,0.841056,0.425696
336.000000,0.843792,0.425312
337.000000,0.839632,0.425280
338.000000,0.839904,0.425056
339.000000,0.833536,0.425600
340.000000,0.835872,0.424992
341.000000,0.837952,0.425760
342.000000,0.833376,0.424864
343.000000,0.837632,0.425856
344.000000,0.837280,0.425264
345.000000,0.838480,0.425824
346.000000,0.836336,0.426000
347.000000,0.831296,0.426240
348.000000,0.837616,0.425376
349.000000,0.834976,0.426464
350.000000,0.833568,0.426336
351.000000,0.825088,0.426464
352.000000,0.827136,0.426560
353.000000,0.832032,0.427712
354.000000,0.827808,0.427936
355.000000,0.828032,0.428016
356.000000,0.829920,0.428000
357.000000,0.832576,0.428064
358.000000,0.830592,0.428416
359.000000,0.836272,0.428160
360.000000,0.830432,0.428160
361.000000,0.833760,0.428544
362.000000,0.829280,0.428624
363.000000,0.830176,0.428400
364.000000,0.833696,0.428912
365.000000,0.833984,0.428848
366.000000,0.828672,0.429376
367.000000,0.829888,0.430416
368.000000,0.829408,0.429008
369.000000,0.828576,0.427648
370.000000,0.828128,0.428192
371.000000,0.830208,0.427856
372.000000,0.826240,0.427664
373.000000,0.830560,0.428672
374.000000,0.828768,0.428576
375.000000,0.828832,0.428224
376.000000,0.827072,0.427984
377.000000,0.831936,0.429184
378.000000,0.830816,0.429152
379.000000,0.828384,0.428768
380.000000,0.830208,0.428864
381.000000,0.830720,0.428928
382.000000,0.830080,0.429696
383.000000,0.829568,0.428832
384.000000,0.827328,0.429456
385.000000,0.831968,0.434720
386.000000,0.826352,0.433760
387.000000,0.828384,0.434352
388.000000,0.827296,0.434016
389.000000,0.828736,0.433280
390.000000,0.828208,0.434240
391.000000,0.828320,0.433936
392.000000,0.826960,0.433760
393.000000,0.827520,0.434336
394.000000,0.828160,0.434112
395.000000,0.829152,0.434640
396.000000,0.826944,0.433824
397.000000,0.828288,0.434432
398.000000,0.830256,0.435168
399.000000,0.831328,0.435248
400.000000,0.832672,0.435392
401.000000,0.834688,0.434496
402.000000,0.831744,0.434816
403.000000,0.830480,0.434544
404.000000,0.828448,0.434576
405.000000,0.827600,0.434560
406.000000,0.828192,0.434992
407.000000,0.828480,0.435792
408.000000,0.828672,0.435200
409.000000,0.828832,0.435872
410.000000,0.828272,0.436032
411.000000,0.830432,0.435856
412.000000,0.827744,0.435040
413.000000,0.827808,0.435968
414.000000,0.827232,0.436160
415.000000,0.828096,0.436240
416.000000,0.825312,0.435744
417.000000,0.831072,0.437728
418.000000,0.828544,0.439104
419.000000,0.829760,0.439744
420.000000,0.827776,0.437760
421.000000,0.828864,0.438720
422.000000,0.825024,0.438144
423.000000,0.827552,0.438336
424.000000,0.828384,0.438272
425.000000,0.827360,0.439008
426.000000,0.827904,0.438912
427.000000,0.828672,0.438832
428.000000,0.825312,0.439008
429.000000,0.829312,0.439232
430.000000,0.829936,0.440608
431.000000,0.831792,0.439040
432.000000,0.829568,0.439632
433.000000,0.829120,0.438368
434.000000,0.830336,0.438624
435.000000,0.827008,0.438016
436.000000,0.826528,0.438912
437.000000,0.829248,0.438240
438.000000,0.827504,0.439680
439.000000,0.828368,0.440672
440.000000,0.829344,0.440224
441.000000,0.832640,0.438848
442.000000,0.827872,0.439008
443.000000,0.828192,0.440032
444.000000,0.829568,0.440416
445.000000,0.833088,0.439680
446.000000,0.832192,0.439632
447.000000,0.831168,0.439792
448.000000,0.834912,0.440672
449.000000,0.835744,0.443296
450.000000,0.834048,0.442080
451.000000,0.834976,0.443040
452.000000,0.835680,0.443232
453.000000,0.836560,0.444928
454.000000,0.836208,0.444608
455.000000,0.837680,0.445536
456.000000,0.837584,0.445824
457.000000,0.839824,0.445568
458.000000,0.836416,0.445120
459.000000,0.836976,0.446464
460.000000,0.839984,0.445200
461.000000,0.836176,0.445840
462.000000,0.841072,0.445536
463.000000,0.839232,0.446112
464.000000,0.838832,0.446672
465.000000,0.839440,0.445792
466.000000,0.838560,0.445152
467.000000,0.839904,0.449344
468.000000,0.842592,0.445200
469.000000,0.841456,0.446048
470.000000,0.842128,0.445120
471.000000,0.842576,0.446192
472.000000,0.842816,0.447008
473.000000,0.845088,0.446720
474.000000,0.843984,0.445888
475.000000,0.843776,0.447392
476.000000,0.846128,0.446800
477.000000,0.846432,0.446944
478.000000,0.846240,0.447200
479.000000,0.845920,0.447392
480.000000,0.846336,0.448736
481.000000,0.850272,0.449632
482.000000,0.849792,0.450640
483.000000,0.938432,0.495936
484.000000,0.963136,0.508384
485.000000,0.964272,0.508864
486.000000,0.966832,0.508928
487.000000,0.970592,0.509744
488.000000,0.966144,0.508448
489.000000,0.965024,0.511120
490.000000,0.968544,0.509840
491.000000,0.965376,0.510944
492.000000,0.970240,0.509600
493.000000,0.967648,0.508816
494.000000,0.971488,0.509808
495.000000,0.971840,0.514144
496.000000,0.971168,0.512096
497.000000,0.973536,0.514016
498.000000,0.975536,0.509568
499.000000,0.974416,0.509568
500.000000,0.975936,0.508768
501.000000,0.977552,0.511584
502.000000,0.975488,0.509376
503.000000,0.980080,0.512672
504.000000,0.978720,0.509696
505.000000,0.978144,0.511600
506.000000,1.014688,0.507488
507.000000,1.011744,0.509344
508.000000,1.007200,0.504288
509.000000,1.007232,0.505696
510.000000,1.007792,0.507712
511.000000,1.011072,0.507248
512.000000,1.012992,0.507840
