# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Throughput/GPU (tok/s),Output Throughput/GPU (tok/s),Input Throughput/GPU (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Std TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Std TPOT (ms),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (ms),Median ITL (ms),P99 ITL (ms),Std ITL (ms),Mean E2E Latency (ms),Median E2E Latency (ms),P99 E2E Latency (ms),Std E2E Latency (ms),Disaggregated,Num Prefill GPUs,Num Decode GPUs,Spec Decoding,EP,DP Attention,Is Multinode
Qwen-3.5-397B-A17B,1024,1024,b300,b300_sglang,sglang,fp8,4,4,2026-04-17,220.53785413909696,109.58530629151701,110.95254784757995,0.20488475360025404,0.19381702649843646,0.41714098585067405,0.07394750330948047,0.008648086018776865,0.008696346656060082,0.008920134577733583,0.0001920638044038432,115.63252236723636,114.99081620707315,112.10593195490542,5206.60310308833,0.4223571853288936,0.4158649899982265,0.5507114034990082,0.07039019206251157,8.134640657150157,8.127792559500449,9.160564626009146,0.6004082602714772,false,,,none,1,false,false
Qwen-3.5-397B-A17B,1024,1024,b300,b300_sglang,sglang,fp8,4,8,2026-04-17,392.91117632908,196.94048050277976,195.97069582630022,0.20301422809970973,0.19237580247863661,0.36792271226207957,0.06655758473357554,0.009729113100009323,0.009792770282526047,0.010122355000301175,0.00028133482753377545,102.78429181782681,102.11615009333701,98.79123978266388,3554.4834913123077,0.473324854759663,0.44863328299834393,0.7075323868903797,0.09903542256307873,9.237602304325264,9.26736441301182,10.580625260995001,0.6940957991031157,false,,,none,1,false,false
Qwen-3.5-397B-A17B,1024,1024,b300,b300_sglang,sglang,fp8,4,16,2026-04-17,644.7142622771039,320.7584672113994,323.9557950657045,0.2183961438937331,0.19771933498850558,0.4529329101037001,0.08513544276739701,0.011956278297246506,0.012109355018605855,0.012590545620355718,0.00048779030990635605,83.63806655707378,82.58078142589048,79.42467547897637,2050.061224446988,0.583120269818839,0.5291001879959367,1.0157851891510659,0.13794969557118877,11.177412596050454,11.170914447502582,12.890792792608263,0.9666016788598853,false,,,none,1,false,false
Qwen-3.5-397B-A17B,1024,1024,b300,b300_sglang,sglang,fp8,4,32,2026-04-17,1007.0348650343851,504.27703481846874,502.7578302159164,0.2794391507436558,0.2114960190083366,1.0429899597360055,0.23768979578946114,0.015160319912902143,0.015380897879778819,0.01618585907183299,0.0008372942662282312,65.96166873424308,65.01571025412596,61.78232465524325,1194.3232389548195,0.7382117908939136,0.6874404090049211,1.2407782213005702,0.1885812111233469,14.284700720049932,14.308950515493052,16.58296822532866,1.239394313991116,false,,,none,1,false,false
Qwen-3.5-397B-A17B,1024,1024,b300,b300_sglang,sglang,fp8,4,64,2026-04-17,1558.6896423895657,778.4401477592274,780.2494946303383,0.3169826816329987,0.23430827300762758,1.4364342146768467,0.28939102966696884,0.019707462368802317,0.020166627227221325,0.021188387616876213,0.0013216666649030783,50.74220015170695,49.58687383531241,47.19566293017577,756.6204297611856,0.9603437643775414,0.8623560630076099,1.7163483768093284,0.2747990194962242,18.47348190139578,18.62524416697852,21.619291941675765,1.7374398113998457,false,,,none,1,false,false
Qwen-3.5-397B-A17B,1024,1024,b300,b300_sglang,sglang,fp8,4,128,2026-04-17,2367.1776357175795,1181.3781146769586,1185.799521040621,0.40793246220018775,0.26993414701428264,2.510578621344176,0.4875561061244136,0.026038272020854254,0.026611589999427712,0.029371060945619833,0.0022020831547804355,38.405006261517364,37.57761186090366,34.04711875582186,454.1154578241654,1.2695260025213526,1.175744603999192,2.3022794156608875,0.3861873109755369,24.35734190219478,24.476284951000707,29.15559700412996,2.568865087369796,false,,,none,1,false,false
Qwen-3.5-397B-A17B,1024,1024,b300,b300_sglang,sglang,fp8,4,256,2026-04-17,3489.1446992773017,1743.9228260420784,1745.2218732352233,0.6633437641475325,0.3215631984930951,5.465086339399277,1.104143061665367,0.03517578350459384,0.036079585996781544,0.038719273019553684,0.0029739719948177557,28.428648927447583,27.716504288303206,25.826931189926743,336.25064450591094,1.7150449771484442,1.5508395679935347,3.3827861164871136,0.5699046127653803,33.09980161398639,33.30162745600683,39.51969301565026,3.662734255837452,false,,,none,1,false,false
