# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Throughput/GPU (tok/s),Output Throughput/GPU (tok/s),Input Throughput/GPU (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Std TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Std TPOT (ms),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (ms),Median ITL (ms),P99 ITL (ms),Std ITL (ms),Mean E2E Latency (ms),Median E2E Latency (ms),P99 E2E Latency (ms),Std E2E Latency (ms),Disaggregated,Num Prefill GPUs,Num Decode GPUs,Spec Decoding,EP,DP Attention,Is Multinode
DeepSeek-V4-Pro,8192,1024,b300,b300_sglang,sglang,fp4,8,1,2026-04-29,88.37557397718477,9.872687985851265,78.5028859913335,1.477357726899936,1.7608652365015587,3.142449383030689,1.0554781446756791,0.011084610226501604,0.011084840595531675,0.011092836150025601,0.0000050371841656967116,90.21517036378539,90.21329548059558,90.14827105308791,198523.61301578226,0.011084675921769557,0.011083666002377868,0.01116473119953298,0.00007472569252172557,11.778346818000136,11.723189762999027,14.045473094721565,1.3260782555135695,false,,,none,1,false,false
DeepSeek-V4-Pro,8192,1024,b300,b300_sglang,sglang,fp4,4,32,2026-04-29,1856.0543102839358,207.55851288341182,1648.495797400524,1.4447782266249534,0.46706753199759987,14.76502501208539,3.2836839819139207,0.03614591757247661,0.03525435552103575,0.058595037178147354,0.005942663219768401,27.665641576116812,28.365289486098106,17.066291757093442,168.274721790304,0.03623081406587031,0.021485131997906137,0.3262348680203964,0.2010685801668969,34.938240976368455,33.178077563497936,65.77116393053562,8.202686318980318,false,,,none,1,false,false
DeepSeek-V4-Pro,8192,1024,b300,b300_sglang,sglang,fp4,4,512,2026-04-29,5784.669399238839,642.735856118765,5141.933543120074,8.048417223822053,1.8209702069998457,106.12209991173823,20.606031781843477,0.18790895326966106,0.19351528632053416,0.26104565297726035,0.029424463887167854,5.3217262009061255,5.167550424639962,3.8307475669288773,33.98532608222319,0.18844862854434813,0.07158731299932697,1.5165429825483443,0.7546650675019272,181.63485319476854,181.6448954664993,295.8787041788767,36.755413884632475,false,,,none,4,true,false
DeepSeek-V4-Pro,8192,1024,b300,b300_sglang,sglang,fp4,8,2048,2026-04-29,8061.182623669114,896.5005969834583,7164.682026685656,11.6652092673814,1.9960697594997328,170.5934995737817,33.380956657054476,0.2701007189996599,0.28427866356197845,0.3614412513994076,0.05153224313701949,3.7023226139626058,3.517675183463003,2.7667013550010053,19.40532643496795,0.27118858330347134,0.057689195997227216,2.3557409565020855,1.223694368172987,261.55709351527713,265.49968246100246,425.53173192555107,59.21397807692758,false,,,none,8,true,false
DeepSeek-V4-Pro,8192,1024,b300,b300_sglang,sglang,fp4,8,4096,2026-04-29,9077.247658858252,1008.3618825460809,8068.885776312171,30.33870599914345,4.157087403000332,330.50421800746955,68.81193621001493,0.47094680762410873,0.4954214208541995,0.6641658340198363,0.10206920446444524,2.1233820546420623,2.018483573592382,1.5056480607373932,9.797274361517529,0.47282137079020786,0.07876572199893417,5.514599329659573,3.399729355895884,465.52537715211736,470.7680052835003,803.5642275760797,111.7159078781811,false,,,none,8,true,false
