# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Throughput/GPU (tok/s),Output Throughput/GPU (tok/s),Input Throughput/GPU (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Std TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Std TPOT (ms),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (ms),Median ITL (ms),P99 ITL (ms),Std ITL (ms),Mean E2E Latency (ms),Median E2E Latency (ms),P99 E2E Latency (ms),Std E2E Latency (ms),Disaggregated,Num Prefill GPUs,Num Decode GPUs,Spec Decoding,EP,DP Attention,Is Multinode
Qwen-3.5-397B-A17B,8192,1024,b300,b300_sglang,sglang,fp8,4,4,2026-04-17,966.86297891249,107.5259541221833,859.3370247903067,0.32692702757485675,0.29571191749892023,0.6717327406908589,0.10410740747768445,0.008730928606852376,0.008785839989904155,0.008951005199795947,0.00020125718062297118,114.53535414493719,113.8195097052876,111.7192960655186,4968.766813211839,0.42625962564941083,0.40795858500132454,0.6900725106807666,0.0909589742236174,8.351264267175065,8.307810590000372,9.515594044380123,0.588267422807291,false,,,none,1,false,false
Qwen-3.5-397B-A17B,8192,1024,b300,b300_sglang,sglang,fp8,4,8,2026-04-17,1580.0777715316008,177.57914787275476,1402.498623658846,0.38049326346258566,0.30117490049997286,1.2046767738599373,0.21912964517803812,0.010664432661697771,0.010779546056656281,0.01124228325498041,0.00043687477983955867,93.76963892243289,92.76828493000484,88.9499025526681,2288.985416753166,0.5194371385410916,0.46920909399705124,0.9441694544024358,0.14232338633774508,10.256291672599854,10.22396069649949,12.085248693108987,0.9138543568337791,false,,,none,1,false,false
Qwen-3.5-397B-A17B,8192,1024,b300,b300_sglang,sglang,fp8,4,16,2026-04-17,2529.8183605564923,280.24116812513324,2249.577192431359,0.4658009022296028,0.3467397215135861,2.1561908779668735,0.3827383539037069,0.013337871624163427,0.013551088619605389,0.014644756966456058,0.0008440736166377592,74.97448080009704,73.79480926375346,68.28382350697309,1184.730786851685,0.6503205670549422,0.5341715334943729,1.350314621992584,0.22102666241172453,12.67556929368693,12.680924893502379,14.870395747560542,1.2131379275540062,false,,,none,1,false,false
Qwen-3.5-397B-A17B,8192,1024,b300,b300_sglang,sglang,fp8,4,32,2026-04-17,3674.2940742882056,410.76670006630155,3263.527374221904,0.6521362835758737,0.41200920450501144,4.286283626367221,0.7860070972331709,0.018284686290099484,0.018742074187106963,0.020769769297631146,0.001615080278468343,54.69057462262642,53.35588740161532,48.146899740193696,619.1642690036109,0.8916231393486699,0.6608805749856401,2.242135286643169,0.38965510815296056,17.584616716366508,17.668433986997115,22.114239919857354,2.0152713473310104,false,,,none,1,false,false
Qwen-3.5-397B-A17B,8192,1024,b300,b300_sglang,sglang,fp8,4,64,2026-04-17,5193.858419576146,576.0471915203104,4617.811228055835,0.9214086411195239,0.48188772800494917,8.190710228830866,1.5279182054728024,0.026279247336153323,0.02697880977385552,0.030168547629951872,0.0027253853871649315,38.05284022058971,37.06612739339875,33.14710447006014,366.9205847765424,1.2816574743296862,0.9873991299973568,3.972330149659825,0.7315511186775389,25.15675032849158,25.45122987050854,33.4297964228649,3.3212175626539286,false,,,none,1,false,false
Qwen-3.5-397B-A17B,8192,1024,b300,b300_sglang,sglang,fp8,4,128,2026-04-17,6805.381823754484,753.536359287872,6051.845464466612,1.4587840406803025,0.6079931774875149,15.628133541088612,2.9264719546013835,0.040227292774106464,0.041409482797599005,0.04859240607729373,0.004924214688162608,24.85874467405574,24.149057955826045,20.57934728338715,203.07806692586226,1.9641646083597233,1.4300640000001295,5.867260779599892,1.3069617453852025,38.50476972263322,38.43793002200255,54.78041607885185,5.906833663061142,false,,,none,1,false,false
Qwen-3.5-397B-A17B,8192,1024,b300,b300_sglang,sglang,fp8,4,256,2026-04-17,8434.975478696531,937.364059361012,7497.61141933552,2.5422521534262046,0.8463711795047857,30.964674327208485,5.884670957631579,0.06462009280451783,0.06682051673329653,0.0823824665897094,0.009205109609311294,15.47506288833566,14.965463436796531,12.13850521107015,108.63531695358246,3.1546106656334314,2.129228466976201,10.602430403283806,2.4485580877151536,62.21491659181036,62.635142783488845,92.83727029088648,11.046246259491012,false,,,none,1,false,false
